sba_borrower_name,sba_city,sba_zip,candidate_business_name,candidate_city,match_score,sba_loan_id,business_id
The Builders,ORLAND,4472,ORCUTT BUILDERS,"1172 Bald Mountain Rd, Orland, ME 04472, USA",74.07,677e4a2d-947e-5d7d-8828-65a9135aef81,701a84ad-7f26-4f11-b29f-7184034aa8e3
Village Greenhouses,FRANKLIN,2038,VILLAGE GROOMER,"3194 Franklin Ave, Millbrook, NY 12545, USA",70.59,8907bc9c-cf0d-5e66-b126-d11c01f54520,077e4d9a-0837-47d7-af8e-29e705096a63
MANTER CONSTRUCTION OF MAINE I,Sidney,4330,MANTER CONSTRUCTION-MAINE INC,"92 Iris Ln, Sidney, ME 04330, USA",81.36,86ca1cf7-7965-5ffc-8c32-5b89f9ab1d2f,738d56fc-5876-4b33-989f-86e1ef0ca8e2
River Stone Development LLC.,Charlestown,2813,RIVER STONE DEVELOPMENT & PROPERTIES,"89B Country Dr, Charlestown, RI 02813, USA",75.0,3ecac468-aa96-562c-827e-d02079a94a8e,dbe51397-f5b7-472b-8ba3-118a240109fe
Walker Motors Inc.,BARRE,5641,WHITE VALLEY MOTORS INC.,"843 Worcester Rd, Barre, MA 01005, USA",71.43,74f2066f-14a6-56d1-99b8-433b63eaa9af,beeeb0e7-e6dd-4e14-a3d4-54f07823c139
EMMA MARIE&apos;S GROOMING &amp; DAYCARE LLC,MATTAPOISETT,2739,EMMA MARIE'S GROOM & DAYCARE,"19 County Rd, Mattapoisett, MA 02739, USA",75.0,53e3ddd3-ef0b-54a4-a708-529cbd5e549e,b8d7bdc4-c268-45ee-9543-59148d0e6b12
Onyx Corporaton,ACTON,1720,INSULET CORPORATION,"100 Nagog Park, Acton, MA 01720, USA",70.59,375ccb01-e585-5cee-a106-b9ce8f7a8849,6434763d-3698-4b79-8984-0e0743ba930e
CJM Construction Co. Inc.,MILFORD,1757,CONSIGLI CONSTRUCTION CO INC,"72 Sumner St, Milford, MA 01757, USA",79.25,27b65552-b13c-5519-a467-9fba5aad799c,63044489-1583-4cd7-bd32-60e3d732090e
Crestone LLC,HANOVER,3755,CREARE LLC,"16 Great Hollow Rd, Hanover, NH 03755, USA",72.73,a2a076b8-2d40-5f03-8675-f824e7d6cd86,0aaad4cf-d897-463d-b25d-906e288fc7ea
Pace Motor Lines Inc & Subsidiary,STRATFORD,6615,PACE MOTOR LINES INC,"1425 Honeyspot Road Ext, Stratford, CT 06615, USA",75.47,1c99eabe-001e-5a70-8160-6c51a12903be,d4b14a1c-455c-417d-86b1-8dde9efba3b7
Advantage III Plumbing & Heating,Winthrop,2152,EMOND PLUMBING & HEATING,"555 Winthrop St, Taunton, MA 02780, USA",71.43,8ee9dec8-3bb6-503a-af11-144008fd45eb,ce41e837-d766-4f78-b0ff-0dada2107f8c
Jenkins Auto Repair LLC,Milton,5468,IMPACT AUTO REPAIR LLC,"383 Murray Ave, Milton, VT 05468, USA",75.56,d979699f-cd51-52a0-ada6-a9e4f01a568c,b75186f1-2ca7-4c49-9f82-4da32fae41b1
Nasr Enterprises LLC,Chester,3036,WOLFE ENTERPRISES,"163 N Chesterville Rd, Farmington, ME 04938, USA",70.27,6339e16a-562f-5cdf-b706-ea905b747f4e,6e2b864a-2fbe-43b4-b631-a78e1247332a
Western Maine Auto Parts Inc.,Fryeburg,4037,WESTERN MAINE TIMBERLANDS INC.,"278 Mc Neil Rd, Fryeburg, ME 04037, USA",71.19,83860f12-045f-5a38-85c8-408b7d3c4003,2307b476-9e77-4ed6-a560-c8953d66385b
MGR Electrical Contracting Incorporated,Haverhill,1832,"PREMIER ELECTRICAL CONTRACTORS, LLC","71 Barber Rd, North Haverhill, NH 03744, USA",70.27,431b7e15-20b8-5608-b47e-93897a92371e,55bbbe2c-501a-4843-ba39-a820b85169d7
Bay State Tree Service,PEMBROKE,2359,UNITED STATES POSTAL SERVICE,"475 US-1, Pembroke, ME 04666, USA",72.0,a6a37644-d1d8-5e04-9ad3-ba5aa47e1ab4,e2010dc5-9568-463e-9d5d-59ba037ba285
POFF CONSTRUCTION LLC,MILTON,2186,CONSTRUCTION DCF INC,"311 5em rang de milton, Roxton Pond, QC J0E 1Z0, Canada",73.17,2d8e41fe-b61b-5c5a-baeb-1eefe12a23e7,c0a2e974-9d8b-4e92-81fc-59e696c255b8
Trio Construction Inc.,RAYMOND,3077,UBORA CONSTRUCTION,"1867 Rte de Chute Panet, Saint-Raymond, QC G3L 4P8, Canada",70.0,9b234016-9e01-5fe9-9525-4926133d63f7,2c3c6950-278b-44bc-a607-8af4ec53da24
MANTER CONSTRUCTION OF MAINE I,AUGUSTA,4330,FRANK MONROE CONSTRUCTION,"183 Augusta Rd, Whitefield, ME 04353, USA",72.73,e3f9a5e6-f5f9-5916-9324-f1f1b5f8bc0f,1dfbdce7-377f-4f51-8165-cfbde90900ae
SOUTHINGTON LAWN CARE LLC,Southington,6489,SOUTHINGTON CARE CENTER,"45 Meriden Ave, Southington, CT 06489, USA",75.0,82d522a5-1aa7-5c10-9145-50af41296176,46c9350b-3842-4742-a7cf-49039987cc43
Central Rock Gym Watertown LLC,Worcester,1606,CENTRAL ROCK GYM - WORCESTER,"299 Barber Ave, Worcester, MA 01606, USA",72.41,8413d055-b711-5ec4-ad4e-0f7e366c4f44,96586684-fa77-44a3-a30a-f0e79b0c9d0f
Hachey Auto Enhancing Inc.,LEVANT,4456,"HACHEY'S AUTO ENHANCING, INC., LEVANT, ME","45 Kenduskeag Rd, Levant, ME 04456, USA",77.61,6b9f7fd1-5f9c-5f2d-84ad-de4c32588d38,ef758109-b1ba-40d1-b4df-920a1190a39d
SM Celino Transport LLC,MONROE,3771,KNM TRANSPORT INC,"140 Buffum Rd, Monroe, NH 03771, USA",75.0,752ca6e6-2af5-5360-8dce-71cb68dc8b6e,40f529a9-99d8-440b-b78f-b8b63ab6b277
Norwood Swim School LLC,Norwood,2062,NORWOOD HIGH SCHOOL,"245 Nichols St, Norwood, MA 02062, USA",71.43,fc42cc1f-5a4d-5386-ab3f-9b62caac5855,37a43614-d102-48bc-a6a1-5dfd53332047
K & J Enterprises LLC,PORTSMOUTH,3801,"REP ENTERPRISES, LLC","747 Portsmouth Ave, Greenland, NH 03840, USA",73.17,6f177ffa-9cf4-527c-a110-65468afdbb46,7adbf78e-66d8-467b-ad55-915377f1a354
Curves of Watertown,WATERTOWN,6795,GMC OF WATERTOWN,"715 Straits Turnpike, Watertown, CT 06795, USA",80.0,ba974c29-8347-56de-9c4f-7c5cd82093c8,27c1ff62-8672-47d4-a7c6-0b3252dd39a7
NEW IMAGE AUTO,Higganum,6441,"NEW IMAGE AUTO, LLC","969 Killingworth Rd, Higganum, CT 06441, USA",84.85,2102c42b-c18c-531a-8253-506e49e9cd05,e69c7f69-a468-48ad-a217-b9d5a4d77abc
FOUR ELEMENTS HAIR SALON & SPA INC,WESTPORT,2790,FOUR ELEMENTS SALON & SPA,"632 State Rd, Westport, MA 02790, USA",84.75,69d2e615-585b-5091-a0ec-287ce21156a1,39fe1113-43bb-4398-82c9-4acf64c24b98
JF Electrical Services Inc.,MILTON,2186,MILTON ELECTRICAL SERVICES,"478 Lake Rd, Milton, VT 05468, USA",83.02,0e12ec59-1e9e-5039-925e-8ba4fb403462,2b9fccaf-db66-48b4-897c-f2f035f3e4f3
MURPHY CONSTRUCTION,Stoneham,2180,DTP CONSTRUCTION INC,"1391 Av. Tewkesbury, Stoneham-et-Tewkesbury, QC G3C 3A7, Canada",71.79,f0e0da01-2e22-5454-8782-26c05599a6a5,d9c7747d-d0a8-413d-a87b-7c7684b0e689
Troy Brehaut & Family Trucking,WINN,4495,HERB BREHAUT & SONS TRUCKING INC,"66 US-2, Winn, ME 04495, USA",70.97,2dc9cc9b-d7fa-5290-bf21-39bf8b256297,60ccdba9-44bb-43c7-8324-650edb0cafab
Troy Brehaut & Family Trucking,WINN,4495,HERB BREHAUT & SONS TRUCKING INC,"66 US-2, Winn, ME 04495, USA",70.97,0400120b-7a62-51de-9af1-1c6ab8cd0b30,60ccdba9-44bb-43c7-8324-650edb0cafab
TA FITNESS LLC,WEYMOUTH,2188,PLANET FITNESS,"944 Middle St, Weymouth, MA 02188, USA",71.43,5be64354-bba1-5317-a9b8-b43190cd72da,1bb27939-d7b6-4c0b-a5dc-d67a95011a6d
TA FITNESS LLC,WEYMOUTH,2188,PLANET FITNESS,"944 Middle St, Weymouth, MA 02188, USA",71.43,133763dc-55e4-5e3b-b42f-120c8056ee83,1bb27939-d7b6-4c0b-a5dc-d67a95011a6d
Brenner Facility Services LLC,SALEM,1970,FIDELITY BROKERAGE SERVICES LLC,"900 Salem St, Smithfield, RI 02917, USA",80.0,63ee82ad-201e-5870-9041-ae5c51decece,ecb35596-72ce-4ebf-9573-b243c9f2ee72
Barrington Shores LLC,BARRINGTON,3825,BARRINGTON SHORES CAMPGROUND,"7 Barrington Shores Dr, Barrington, NH 03825, USA",77.55,bc1bc7ec-2980-5bd3-bf49-1b198ffa9642,5172e42d-bad4-4531-855d-fe4e11346475
OSTERVILLE MARKET PARTNERS INC.,Osterville,2655,OSTERVILLE PRIMARY CARE,"770 Main St, Osterville, MA 02655, USA",70.37,e6d2a932-a512-53bf-ad42-5d36737e7b54,f2a041ec-e60b-439e-8ddd-4a178966bb2a
Alpine Lawn and Landscape LLC,BRISTOL,6010,BUTLER LAWN AND LANDSCAPE LLC,"1407 Hardscrabble Rd, Bristol, VT 05443, USA",75.86,4176e974-6929-5a77-92cc-533b9cdfcff2,71614c7e-a2d6-4efe-abaa-ddf38516120a
S & T Electrical Inc.,LONDONDERRY,3053,ED'S ELECTRIC INC.,"4197 VT-11, Londonderry, VT 05148, USA",71.79,50ed635b-7f1a-5c37-a170-bf004a67f8ef,389fa176-02ef-4d1b-ab7a-8850b4a5858c
A.C. Parsons Landscaping & Garden Center,BERNARD,4612,A C PARSONS LANDSCAPING,"71 Richtown Rd, Bernard, ME 04612, USA",73.02,708edd61-65ce-5f69-ae54-53e14516963b,964cd387-6416-4e35-8778-59c9f0ffb884
Corso Construction Corp,HUDSON,1749,MJC CONSTRUCTION,"225 Darling Rd, Hudson, ME 04449, USA",71.79,10738e19-3e8b-52d9-979b-ede2bca47248,63357078-f5af-4749-a148-5e35c06699b1
Marc C. Taylor,Thornton,3285,MARC TAYLOR ELECTRICIAN,"Upper Mad River Rd, Thornton, NH 03285, USA",70.27,c1f96c55-1fd7-57cd-826f-c7a67403824c,b9720c23-e6cf-41af-9675-767b0f5494b3
Iron Construction Group LLC,WARWICK,2886,CONSTRUCTION GOUIN,"4 Rue Louis-Payer, Warwick, QC J0A 1M0, Canada",80.0,db96a847-7512-5a17-9833-780a3c447963,2e96ee7d-e81c-46ec-bd5e-98c8bb4de59a
Ardent Enterprise Inc.,CAMBRIDGE,2140,CARE FOX ENTERPRISES,"60 North Park Street, Cambridge, NY 12861, USA",71.43,35c7b045-bf8f-5879-a9e9-94b6ddb2ca63,f5d0bd67-cf8f-4d31-9c2e-4bbd59f68c46
Waterville Estates Realty Acquisition LLC,CAMPTON,3223,WATERVILLE ESTATES REALTY,"548 Winterbrook Rd, Campton, NH 03223, USA",75.76,cc12e5bf-11bc-57cd-9022-5115ec4cccb6,21ea7511-204e-4595-af67-6e8b24112f5c
Z & M Corporation,Pembroke,2359,LDG CORPORATION,"701 Borough Rd, Pembroke, NH 03275, USA",75.0,8531c5e1-becd-5607-85a1-512c9fbf1f50,0fac20bc-96cd-455e-9ac9-2a56a71ac10c
BM McNamara FUNERAL SERVICESInc.,NORWELL,2061,MCNAMARA SPARRELL FUNERAL SERVICES,"30 Central St, Norwell, MA 02061, USA",75.76,f6740ee4-dcd9-54ee-ba85-5211aa69bf74,31c2298a-7678-47af-a1ad-30fee0662af9
Nichols Self Storage,LIVERMORE,4253,LIVERMORE SELF STORAGE,"Robinson Rd, Livermore, ME 04253, USA",71.43,0d25089f-c753-5452-ab24-163191830794,ebd94187-27e1-4006-b9c2-7905da755990
Canty Construction LLC,West GARDINER,4345,BOWER CONSTRUCTION LLC,"557 Hallowell Litchfield Rd, West Gardiner, ME 04345, USA",77.27,787a9d7e-5e45-53bc-8283-228bf5f589c0,6344f220-4df6-4aeb-9836-11d9e7b35af3
Life Medi Spa PLLC,Meredith,3253,LIFE MEDI SPA,"3 Winona Rd #1B, Meredith, NH 03253, USA",83.87,7d18d771-a7b2-5f96-a85d-2e721dcdd2d4,5daa8df1-161e-4514-b6ee-5872d8e606ca
Iron Construction Group LLC,WARWICK,2886,CONSTRUCTION GOUIN,"4 Rue Louis-Payer, Warwick, QC J0A 1M0, Canada",80.0,7e4a1275-ed8a-5b03-9b9f-8920e6c80588,2e96ee7d-e81c-46ec-bd5e-98c8bb4de59a
Wally's Landscaping Inc,HUDSON,1749,DESIGN WORKS LANDSCAPING,"125 Wason Rd, Hudson, NH 03051, USA",72.34,c027247e-040b-5ae1-989c-5871a8457282,5fc8a848-88c7-464d-998c-2a7dbaa6e589
Milford Swim School Corporation,Milford,1757,GOLDFISH SWIM SCHOOL - MILFORD,"350 E Main St, Milford, MA 01757, USA",72.13,e4d134a9-373d-5e27-945d-56843624e1fe,739e1e62-4566-4711-af03-633f4351240a
Diversified Mobile Services Inc.,NORTH KINGSTOWN,2852,DIVERSIFIED SERVICES,"230 Dry Bridge Rd, North Kingstown, RI 02852, USA",76.92,2c527ccc-391a-5db2-8c6c-b4895aafb137,05eba8e4-eda9-4725-9971-52c4308fd3e9
Diversified Mobile Services Inc.,NORTH KINGSTOWN,2852,DIVERSIFIED SERVICES,"230 Dry Bridge Rd, North Kingstown, RI 02852, USA",76.92,c2d38cf5-c3b4-5f46-a26e-23889cc542d6,05eba8e4-eda9-4725-9971-52c4308fd3e9
Fisher Contracting Corporation,Worcester,1603,STERLING CONCRETE CORPORATION,"194 Worcester Rd, Sterling, MA 01564, USA",71.19,c14e35ed-20be-534d-8559-0df6433e0dd2,068dd354-a906-4e9e-8ef8-c4887d543b25
490 Cherry Brook LLC,CANTON,6019,CHERRY BROOK KENNELS,"490 Cherry Brook Rd, Canton, CT 06019, USA",70.0,70f4e77b-4676-5c42-a8aa-8147b9716700,dbf8823e-d24e-428c-9753-d87af78591a7
HUTCH BROS CONCRETE CORPORATION,EAST BARRE,5649,HUTCH BROTHERS CONCRETE,"176 Mill St, East Barre, VT 05649, USA",70.37,9e59f650-6ec5-555d-878a-9712a8f103e1,e9e46075-ec2d-4705-bc01-8570764fedd0
eurO-K LLC,Benton,4901,EURO-K,"200 Neck Rd, Benton, ME 04901, USA",75.0,82ef70ef-63f3-5de6-9ddd-94e042c0349c,c3c5ae78-a7ff-4e3f-8c06-adef621e4ab8
MetroWest Internal Medicine P.C.,FRAMINGHAM,1701,METROWEST MEDICAL CENTER,"115 Lincoln St, Framingham, MA 01702, USA",71.43,faee8296-4f59-5cb7-aab3-801c317f8b08,03fe8c5d-73cc-4939-b489-9f67c419048c
A.C. Parsons Landscaping & Garden Center,Bernard,4612,A C PARSONS LANDSCAPING,"71 Richtown Rd, Bernard, ME 04612, USA",73.02,0fcedf13-0343-5edd-a198-9e3b73e76779,964cd387-6416-4e35-8778-59c9f0ffb884
JP AUTO BODY,DORCHESTER,2124,BROWNS AUTO BODY,"59 N Dorchester Rd, Wentworth, NH 03282, USA",71.43,3bc3a5b6-70b9-515e-aed9-ded23312db22,9a8f6d08-bc7e-4916-bf5e-a005bf6faa72
Salmon Falls Nursery Inc.,BERWICK,3901,SALMON FALLS NURSERY & LANDSCAPING,"511 Portland St, Berwick, ME 03901, USA",77.97,9b85405c-8986-5697-879e-134db5f22732,2f9bf919-b73f-47e3-a2b7-8fd95f2df7d5
Quad Construction LLC,Nashua,3063,ASHER CONSTRUCTION LLC,"77 Nashua Rd, Sharon, NH 03458, USA",74.42,e3c7d895-2963-567c-8c94-7570542ab54f,70045617-63c5-4e2c-8682-da3e56b1efaa
North End Landscaping & Property Maintenance Inc.,CARIBOU,4736,"NORTH END LANDSCAPING & STONE SUPPLY, INC.","1078 Presque Isle Rd, Caribou, ME 04736, USA",70.33,085badf2-623d-5be3-b7b1-012dd2af5148,b6da3ee3-ebed-4516-b1c8-e2485228abfd
Zander Corporation,MIDDLEBORO,2346,FEENEY CORPORATION,"426 Wareham St, Middleborough, MA 02346, USA",77.78,aba0519c-aa48-5275-a000-b92c67155764,73cf19e4-b441-40d6-9ddd-d54768ce4594
JBJ Corporation,Springfield,5156,IVEK CORPORATION,"10 Fairbanks Rd, North Springfield, VT 05150, USA",77.42,063dc2f7-dcbe-52c3-95b7-83effbc51801,69a166ad-c250-4de2-9f32-f99e5d76f33d
Concord Homes,EPSOM,3234,CONCORD HOME SALES,"405 Suncook Valley Highway South Rte. 28 South, across from, Webster Park, Epsom, NH 03234, USA",83.87,8d65597d-0da2-5c98-9f5c-bd364480b79e,dd8223f0-2717-47de-81d7-6c0713a8e057
Berlin Spring Inc.,Berlin,3570,BERLIN MINI STORAGE,"82 Jericho Rd, Berlin, NH 03570, USA",70.27,0738e5d7-ee16-56ef-86c9-73812180aa45,423f1b42-e3b3-418f-ba90-87e0df6c1077
Maust Construction LLC,Amherst,3031,SCHWANZ CONSTRUCTION,"10 Northern Blvd STE 12, Amherst, NH 03031, USA",71.43,fd9a9a4d-91ec-5804-abe3-62455bf2e666,fc844561-203c-43c9-9d09-42df19ea63f1
K.G. Lee Corporation,SHREWSBURY,1545,LEI CORPORATION,"200 Shrewsbury St, Boylston, MA 01505, USA",80.0,dea71b1c-310e-50c5-9d3a-7402059ad709,aaeea229-0ffc-43f5-b621-e652b2113ee6
CLT Development Holdings LLC,Fairfield,6824,DSB BUILDING DEVELOPMENT LLC,"6 Deer Ln, New Fairfield, CT 06812, USA",71.43,eb760a42-eab7-5ba0-84e2-b672875d0353,82087be4-98a0-42b4-9c86-b7c46a91c611
Wally's Landscaping Inc,HUDSON,1749,DESIGN WORKS LANDSCAPING,"125 Wason Rd, Hudson, NH 03051, USA",72.34,431bebd7-90f3-53cf-baec-f242b1cdb78d,5fc8a848-88c7-464d-998c-2a7dbaa6e589
Maust Construction LLC,Amherst,3031,SCHWANZ CONSTRUCTION,"10 Northern Blvd STE 12, Amherst, NH 03031, USA",71.43,2947395e-9626-56e6-a2e7-bbe758736e8b,fc844561-203c-43c9-9d09-42df19ea63f1
Redpoint Physical Therapy Inc,PLYMOUTH,2360,LONG POND PHYSICAL THERAPY,"6 Greenside Way S, Plymouth, MA 02360, USA",80.0,8e89b3d0-7492-5927-a57b-1a81c3100681,639fc10d-fb82-46df-b95c-905bd145872b
Redpoint Physical Therapy Inc,PLYMOUTH,2360,LONG POND PHYSICAL THERAPY,"6 Greenside Way S, Plymouth, MA 02360, USA",80.0,58fd38f7-e271-5d27-859e-281db8358b64,639fc10d-fb82-46df-b95c-905bd145872b
B. Davis Contruction Co. LLC,PETERBOROUGH,3458,HARRIS CONSTRUCTION CO,"177 Sharon Rd, Peterborough, NH 03458, USA",72.0,0199c356-54ad-5f8f-8a45-a4e58f4485c2,b5c41322-aaf0-45bb-9f20-c9f9a639f86e
Barrows Contracting Incorporated,UPTON,1568,BARROWS CONTRACTING INC.,"37 North St, Upton, MA 01568, USA",82.14,6d178a08-bcee-5b5e-8324-1d337f250b13,22eff3f9-0a1a-43da-b8d4-ca99e4fd8735
Cambridge Montessori School Inc.,CAMBRIDGE,2140,CAMBRIDGE CENTRAL SCHOOL,"24 S Park St, Cambridge, NY 12816, USA",75.0,72eb8331-a565-5ff2-8a93-a22b19f7935e,47926912-40e4-4048-94d9-c5fd31415cd7
Boston Road AC LLC,Sutton,1590,BOSTON ROAD ANIMAL CLINIC,"239 Boston Rd, Sutton, MA 01590, USA",74.42,ceb03552-a815-5270-a0a0-748001c0d23f,573d2f15-6658-4c9c-9cd3-482acde3ccc8
Everett Package Inc,Everett,2149,EVERETT PROPANE INC.,"1 Everett Rd, West Paris, ME 04289, USA",76.92,31aeb39f-dbd8-5cc0-a417-f72be3e0ff17,26aff392-9313-4aad-973c-91a10c49ddbf
Gauthier Plumbing & Heating LLC,New Gloucester,4260,"DAHMS PLUMBING & HEATING, INC.","116B Cobble Hill Rd, New Gloucester, ME 04260, USA",75.41,2a32f285-6603-5bcd-a925-1a39734e8e8a,33e9f852-f291-4634-9eb5-90ad4439a74b
WB Construction LLC,Waterbury,6704,"WALKER CONSTRUCTION, INC.","5950 Waterbury-Stowe Rd, Waterbury Center, VT 05677, USA",72.73,d45eb73a-2c98-50f3-bd97-a8ce1fe60875,84f18e63-c58f-4f20-818c-69e483248f18
Teamwork Physical Therapy Inc,Plymouth,2360,LONG POND PHYSICAL THERAPY,"6 Greenside Way S, Plymouth, MA 02360, USA",72.73,6873924d-d0d3-5be9-b271-40339856670f,639fc10d-fb82-46df-b95c-905bd145872b
Barrington Power LLC,BARRINGTON,3825,BARRINGTON EYE CARE,"789 S Main St STE 3, Great Barrington, MA 01230, USA",71.79,5bb91612-5481-5e65-92ca-4001b37cf363,00bd90bb-a8c3-4cec-ad69-f6c86c513d1a
Off The Beaten Trail LLC,WEST BURKE,5871,OFF THE BEATEN TRAIL CANINE FACILITY,"209 Marylyn Ln, West Burke, VT 05871, USA",73.33,5db92156-576f-5ef4-89be-bf9c54b13bd9,44e3a90e-6af9-4372-94dd-b017c38b45ff
Fredo Landscaping LLC,WINDSOR,6095,ZACH EDGE LANDSCAPING LLC,"28 Hilltop Cir, Windsor, NH 03244, USA",78.26,9ef1fc5b-1950-530e-8fa1-744306521404,eea06a4f-5930-4417-84c6-0af09b0c1d8c
Portland Tint Inc.,PORTLAND,4102,"PORTLAND SAFE, INC","235 Portland Rd, Gray, ME 04039, USA",72.22,65f9d081-5e47-567c-9134-0c27bff326d4,a368fe3f-d617-4852-a8f7-15ac26616649
River Stone Development LLC.,CHARLESTOWN,2813,RIVER STONE DEVELOPMENT & PROPERTIES,"89B Country Dr, Charlestown, RI 02813, USA",75.0,d90853bc-5282-5cf0-9d1e-4220670c434f,dbe51397-f5b7-472b-8ba3-118a240109fe
Granite State Physical Therapy Leasing LLC,Hooksett,3106,GRANITE STATE PHYSICAL THERAPY,"1558 Hooksett Rd #5, Hooksett, NH 03106, USA",83.33,02dded24-c64a-5ff8-b8ea-594665210adb,9fbe1e4a-9eaf-4634-acc3-fc32194705b5
Complete Septic Services LLC,ISLE LA MOTTE,5463,COMPLETE EXCAVATION & SEPTIC SERVICES LLC,"698 Main St, Isle La Motte, VT 05463, USA",81.16,459ae494-1d10-518f-90e7-898e79ab3b4f,95dfc115-9b39-432a-a53e-0a426254ebcc
Cannings Service Center Inc.,EAST SANDWICH,2537,GULF  CANNING'S SERVICE CENTER,"491 MA-6A, East Sandwich, MA 02537, USA",81.36,92b12c1d-452e-51b9-a938-a29f967c8f50,783207ab-67d2-40a6-9f12-0153943ae8bd
HI Danbury Lodging LLC,Danbury,6810,DANBURY WOODWORKING LLC,"61 Hemlock Ln, Danbury, NH 03230, USA",75.56,c7281d76-6ecc-5817-a7fb-72c11a733b3c,f5e8737f-c738-4bd6-896f-c18b2dda257f
Groton-Ledyard Veterinary Hospital,LEDYARD,6339,GROTON LEDYARD VETERINARY HOSPITAL,"3 Lorenz Industrial Pkwy, Ledyard, CT 06339, USA",76.47,49b0fd3c-a985-5b75-a304-53e0d7311816,09136d42-bc8c-446a-b1f3-999035ba5242
Advantage Automotive,GARDINER,4345,ANTHONY AUTOMOTIVE,"808 Brunswick Ave, Gardiner, ME 04345, USA",73.68,8ebabbf5-0733-5228-82d4-9776e6a8a06a,bd3b763d-6a23-403d-8c5d-f07a41948523
Boston Sailing Center,Boston,2110,BOSTON MEDICAL CENTER,"One Boston Medical Center Pl, Boston, MA 02118, USA",76.19,460d241e-2540-5503-a1de-5482eaa01cc2,b378950d-2eda-467b-bf8c-c7f769b491a4
FALMOUTH AUTO CENTER,EAST FALMOUTH,2536,FALMOUTH COUNTRY CLUB,"630 Carriage Shop Rd, East Falmouth, MA 02536, USA",73.17,86dc0723-3a10-5304-bd12-1a59a97dca7b,5eaf6802-ee20-44cd-889d-bb83572163b7
Double Down Enterprises LLC,DURHAM,3824,BOSCO NH ENTERPRISES LLC,"237 Kings Hwy, New Durham, NH 03855, USA",70.59,47a0a381-a7ef-5b42-a9e0-6e5e52cfae6b,7c40b291-cc75-45c8-867f-27f6a76583ab
CENTURY MEDICAL P.C.,SALEM,1970,SALEM MEDICAL CENTER,"213 S Main St, Salem, NY 12865, USA",70.0,99f3835f-5f90-5bf5-b420-7c7fa10acf66,b9f6e666-3b51-446c-aae0-475a895413fb
TNT Fitness LLC,Manchester,3104,PLANET FITNESS,"346 Middle Turnpike W, Manchester, CT 06040, USA",75.86,af704b72-43ba-5f21-832b-e05621f1dd2e,6b01b9a7-4d18-433d-9695-9463bd85b331
Gallitto Construction LLC,Middletown,6457,HILL CONSTRUCTION GROUP INC.,"1129 Middletown Rd, Andover, VT 05143, USA",71.7,e57aea4d-d206-52d6-aef9-53435bb74b54,0a46c388-4481-488d-b6f9-9252a2124ff2
RAPOSO'S CONSTRUCTION INC.,TAUNTON,2780,G LOPES CONSTRUCTION INC,"565 Winthrop St, Taunton, MA 02780, USA",76.0,e84e92e5-7551-5f8c-ad09-b1490112236a,9ee2f4c8-c83e-4096-a607-8c8541d97e39
NORTHEAST FARM SALES & SERVICE INC,IRASBURG,5845,NORTHEAST FARM SERVICE,"4501 US-5, Irasburg, VT 05845, USA",78.57,731f159a-072d-5b83-a4d3-e94c1b7bd47f,9d89983c-fd5e-4fbb-8ac2-a60f1419c54a
Brenner Facility Services LLC,SALEM,1970,FIDELITY BROKERAGE SERVICES LLC,"900 Salem St, Smithfield, RI 02917, USA",80.0,c2a75531-af4e-5a8c-9b4e-5c9f5da84733,ecb35596-72ce-4ebf-9573-b243c9f2ee72
RAE Veterinary Services P.C.,WINTERPORT,4496,RIDGE RUNNER VETERINARY SERVICES,"559 S Main St, Winterport, ME 04496, USA",76.67,136f0218-9ef1-550b-b87d-980f9dbdbf51,a703c378-46c8-49ca-9082-7c3b1740f54f
RAE Veterinary Services P.C.,WINTERPORT,4496,RIDGE RUNNER VETERINARY SERVICES,"559 S Main St, Winterport, ME 04496, USA",76.67,84300538-ee20-5012-8f45-ef213822b485,a703c378-46c8-49ca-9082-7c3b1740f54f
York Woods Tree Service LLC,ELIOT,3903,YORK WOODS TREE & PRODUCTS,"300 ME-236, Eliot, ME 03903, USA",71.7,0f56f49e-3639-5863-a0bd-20245100ff37,4aaca6a8-895b-48ee-aeb3-9e0b2ea0018c
Pureum Corporation,Acton,1720,INSULET CORPORATION,"100 Nagog Park, Acton, MA 01720, USA",75.68,e512f207-615d-5015-9b6e-d453922d3d47,6434763d-3698-4b79-8984-0e0743ba930e
Pureum Corporation,Acton,1720,INSULET CORPORATION,"100 Nagog Park, Acton, MA 01720, USA",75.68,be9c4121-fc18-5cc6-8000-6a059f8336be,6434763d-3698-4b79-8984-0e0743ba930e
Shift Portland LLC,PORTLAND,4102,"PORTLAND SAFE, INC","235 Portland Rd, Gray, ME 04039, USA",72.22,e86ec347-cfec-5c8b-be6e-88b2362d1be7,a368fe3f-d617-4852-a8f7-15ac26616649
BCS & Son Construction LLC,DANVILLE,3819,WK CONSTRUCTION LLC,"2870 VT-15, West Danville, VT 05873, USA",75.56,492861d2-4534-507c-98be-f7812d0e69d7,dcfead63-5417-44d0-9761-8a7e411d392b
Gillespie Corporation,Ware,1082,FEENEY CORPORATION,"426 Wareham St, Middleborough, MA 02346, USA",71.79,c8008121-b668-560c-8ed4-828b58f689b2,73cf19e4-b441-40d6-9ddd-d54768ce4594
